contrast,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
Soil_1m - Soil_p,-0.0049999293374297475,0.016528485507015276,Inf,-0.05521469645560505,0.045214837780745545,-0.30250377962987596,0.8270088697908438
Soil_1m - Root,0.03205204139718288,0.016528485507015297,Inf,-0.01816272572099248,0.08226680851535824,1.9392001392734268,0.08554942572503588
Soil_1m - Leaf_EN,-0.011953784029067646,0.017072066785707826,Inf,-0.06381999146267661,0.039912423404541326,-0.7001954818425946,0.6349943681163904
Soil_1m - Leaf_EP,-0.032679549468372905,0.01688644186857806,Inf,-0.08398181461089625,0.018622715674150442,-1.9352537214593641,0.08554942572503588
Soil_1m - Fruit_EN,0.03703533784319747,0.01866299901698594,Inf,-0.019664239923133285,0.09373491560952824,1.9844258583248133,0.08554942572503588
Soil_1m - Fruit_EP,0.041251474973810855,0.017492266694495752,Inf,-0.01189133100561822,0.09439428095323993,2.358269268029818,0.048195970279247
Soil_p - Root,0.037051970734612624,0.016354467660203022,Inf,-0.012634117234564125,0.08673805870378937,2.2655565136354103,0.04930495535765588
Soil_p - Leaf_EN,-0.006953854691637899,0.016898812659321107,Inf,-0.05829370321564929,0.0443859938323735,-0.411499602476643,0.7941572714663827
Soil_p - Leaf_EP,-0.027679620130943158,0.016712874982513785,Inf,-0.07845457617672892,0.02309533591484261,-1.6561854354743617,0.14652640769808728
Soil_p - Fruit_EN,0.04203526718062722,0.01852914630683441,Inf,-0.014257656106347695,0.09832819046760213,2.2686024755022127,0.04930495535765588
Soil_p - Fruit_EP,0.0462514043112406,0.017326093508759636,Inf,-0.006386555182436179,0.09888936380491738,2.6694652368034983,0.03028306792117423
Root - Leaf_EN,-0.044005825426250526,0.01689881265932111,Inf,-0.09534567395026193,0.007334023097760878,-2.6040779499367743,0.03028306792117423
Root - Leaf_EP,-0.06473159086555579,0.01671287498251379,Inf,-0.11550654691134157,-0.013956634819769997,-3.8731571278599652,0.0011280623878317463
Root - Fruit_EN,0.0049832964460145915,0.018529146306834415,Inf,-0.05130962684096035,0.06127621973298953,0.26894366116460094,0.8270088697908438
Root - Fruit_EP,0.009199433576627974,0.017326093508759643,Inf,-0.043438525917048824,0.06183739307030477,0.5309583243318506,0.7355529909945646
Leaf_EN - Leaf_EP,-0.02072576543930526,0.017233892671585083,Inf,-0.07308361193866952,0.03163208106005901,-1.2026166017313957,0.320774608300409
Leaf_EN - Fruit_EN,0.04898912187226512,0.019042796609113566,Inf,-0.008864309199780665,0.1068425529443109,2.5725802190640286,0.03028306792117423
Leaf_EN - Fruit_EP,0.0532052590028785,0.01785574860187384,Inf,-0.0010418320196607794,0.10745235002541778,2.9797271561773093,0.015146524658393959
Leaf_EP - Fruit_EN,0.06971488731157038,0.018866807537849927,Inf,0.012396124114878143,0.12703365050826262,3.6951077797190024,0.0015385547235068882
Leaf_EP - Fruit_EP,0.07393102444218376,0.01767530423767744,Inf,0.02023213680597795,0.12762991207838958,4.182729951804123,6.048618373271688e-4
Fruit_EN - Fruit_EP,0.004216137130613383,0.01929234403655851,Inf,-0.054395437568612814,0.06282771182983958,0.21853939172056586,0.8270088697908438
