Site,Plant,Plant_ID,N_Compartments
1,1,1_1,5
1,2,1_2,6
1,3,1_3,6
1,4,1_4,7
1,5,1_5,7
1,6,1_6,7
1,7,1_7,7
1,8,1_8,5
1,9,1_9,7
1,10,1_10,7
2,1,2_1,7
2,2,2_2,7
2,3,2_3,7
2,4,2_4,7
2,5,2_5,7
2,6,2_6,7
2,7,2_7,7
2,8,2_8,7
2,9,2_9,7
2,10,2_10,7
3,1,3_1,6
3,2,3_2,6
3,3,3_3,7
3,4,3_4,7
3,5,3_5,7
3,6,3_6,7
3,7,3_7,7
3,8,3_8,7
3,9,3_9,6
3,10,3_10,5
4,1,4_1,7
4,2,4_2,7
4,3,4_3,7
4,4,4_4,7
4,5,4_5,6
4,6,4_6,7
4,7,4_7,7
4,8,4_8,7
4,9,4_9,7
4,10,4_10,5
5,1,5_1,7
5,2,5_2,7
5,3,5_3,7
5,4,5_4,7
5,5,5_5,7
5,6,5_6,7
5,7,5_7,6
5,8,5_8,5
5,9,5_9,5
5,10,5_10,5
6,1,6_1,5
6,2,6_2,5
6,3,6_3,5
6,4,6_4,5
6,5,6_5,5
6,6,6_6,5
6,7,6_7,5
6,8,6_8,5
6,9,6_9,5
6,10,6_10,5
7,1,7_1,5
7,2,7_2,5
7,3,7_3,5
7,4,7_4,5
7,5,7_5,5
7,6,7_6,5
7,7,7_7,5
7,8,7_8,5
7,9,7_9,5
7,10,7_10,5
8,1,8_1,5
8,2,8_2,5
8,3,8_3,5
8,4,8_4,5
8,5,8_5,5
8,6,8_6,5
8,7,8_7,5
8,8,8_8,5
8,9,8_9,4
8,10,8_10,5
